"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Tim Collins","Nationals","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0","-25","17","0.00","-0.88","0.88","0.75","0.50","3164"
"Daniel Descalso","Diamondbacks","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0","1","63","0.00","0.12","-0.12","2.56","1.59","8392"
"Adrian Houser","Brewers","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0","1","43","0.00","0.12","-0.12","1.75","1.12","12718"
"Josh Hader","Brewers","18.44","2.30","8.00","0.66","59.0 %","7.4 %","51.6 %",".080","0.51",".167","80.4 %","33","17","22","1.32","0.74","0.57","0.92","0.55","14212"
"Richard Rodriguez","Pirates","15.28","1.02","15.00","0.51","42.9 %","2.9 %","40.0 %",".250","1.08",".432","90.9 %","40","19","40","1.53","0.80","0.73","1.63","1.22","13549"
"Jace Fry","White Sox","12.96","2.16","6.00","0.00","44.4 %","7.4 %","37.0 %",".000","0.24",".000","100.0 %","0","24","52","0.00","0.96","-0.96","2.13","1.52","16159"
"Ben Taylor","Indians","13.50","2.70","5.00","0.00","38.5 %","7.7 %","30.8 %",".167","0.90",".286","66.7 %","62","26","48","2.70","1.02","1.68","2.00","1.94","18114"
"Aroldis Chapman","Yankees","17.05","4.26","4.00","0.00","47.4 %","11.8 %","35.5 %",".138","0.95",".310","85.0 %","33","26","49","1.42","1.07","0.35","2.01","1.83","10233"
"Ryan Cook","Mariners","9.00","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".167","0.50",".250","100.0 %","0","29","47","0.00","1.12","-1.12","1.93","1.58","8855"
"Will Smith","Giants","12.38","2.25","5.50","0.00","37.9 %","6.9 %","31.0 %",".111","0.63",".188","80.0 %","0","28","53","0.00","1.12","-1.12","2.14","1.92","8048"
"Bryan Holaday","Marlins","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0","27","109","0.00","1.12","-1.12","4.37","4.39","11287"
"Cory Mazzoni","Cubs","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0","27","27","0.00","1.12","-1.12","1.12","-0.76","12537"
"Jake Barrett","Diamondbacks","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0","27","27","0.00","1.12","-1.12","1.12","-0.76","13322"
"Adam Conley","Marlins","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0","27","68","0.00","1.12","-1.12","2.75","2.66","14457"
"Dan Winkler","Braves","13.03","2.33","5.60","0.00","40.0 %","7.1 %","32.9 %",".109","0.62",".194","76.9 %","24","28","58","0.93","1.16","-0.23","2.33","1.86","12237"
"Adam Cimber","Padres","11.31","2.19","5.17","0.00","32.0 %","6.2 %","25.8 %",".242","1.14",".367","71.4 %","78","33","49","2.92","1.34","1.58","2.00","2.24","15288"
"Luis Cessa","Yankees","11.25","2.25","5.00","0.00","33.3 %","6.7 %","26.7 %",".214","1.00",".333","50.0 %","104","33","53","4.50","1.37","3.13","2.18","2.29","13345"
"Seranthony Dominguez","Phillies","9.39","0.00","8.00","0.00","32.0 %","0.0 %","32.0 %",".042","0.13",".063","100.0 %","0","33","72","0.00","1.43","-1.43","2.91","1.98","19249"
"Adam Ottavino","Rockies","15.58","3.46","4.50","0.35","48.4 %","10.8 %","37.6 %",".086","0.65",".171","90.9 %","23","35","42","1.04","1.55","-0.51","1.73","1.64","1247"
"Sam Gaviglio","Blue Jays","11.17","1.86","6.00","0.00","29.3 %","4.9 %","24.4 %",".211","1.03",".308","90.9 %","22","38","78","0.93","1.57","-0.64","3.25","2.82","12778"
"Bud Norris","Cardinals","12.49","1.61","7.75","0.40","36.1 %","4.7 %","31.4 %",".210","0.94",".327","82.5 %","53","39","54","2.01","1.60","0.42","2.18","1.95","9492"
"Victor Arano","Phillies","9.69","2.08","4.67","0.00","27.5 %","5.9 %","21.6 %",".167","0.85",".235","81.8 %","35","39","82","1.38","1.66","-0.28","3.28","2.95","15915"
"Christian Bergman","Mariners","6.43","0.00","5.00","0.00","21.7 %","0.0 %","21.7 %",".087","0.29",".111","100.0 %","0","42","85","0.00","1.69","-1.69","3.55","3.34","10925"
"Max Scherzer","Nationals","14.25","2.19","6.50","0.69","40.9 %","6.3 %","34.7 %",".170","0.85",".278","82.7 %","45","45","60","1.78","1.81","-0.03","2.43","2.08","3137"
"Jacob deGrom","Mets","12.10","2.45","4.93","0.35","34.3 %","7.0 %","27.4 %",".204","1.01",".313","83.7 %","47","45","58","1.75","1.82","-0.06","2.35","2.66","10954"
"Josh Lucas","Athletics","9.45","2.70","3.50","0.00","29.2 %","8.3 %","20.8 %",".182","0.90",".267","83.3 %","32","47","75","1.35","1.92","-0.57","3.14","2.89","11686"
"Gerrit Cole","Astros","13.57","2.04","6.64","0.73","40.8 %","6.1 %","34.7 %",".165","0.79",".263","86.4 %","42","47","56","1.75","1.94","-0.19","2.33","2.08","13125"
"Tanner Scott","Orioles","9.64","2.89","3.33","0.00","25.6 %","7.7 %","18.0 %",".278","1.39",".385","61.5 %","111","46","80","4.82","1.94","2.88","3.34","3.21","17586"
"Dylan Floro","Reds","9.00","2.50","3.60","0.00","22.8 %","6.3 %","16.5 %",".243","1.28",".321","82.6 %","38","47","82","1.50","1.96","-0.46","3.31","3.02","13394"
"Luis Severino","Yankees","10.52","2.22","4.75","0.28","30.0 %","6.3 %","23.7 %",".199","0.97",".285","76.8 %","55","46","68","2.35","1.97","0.39","2.84","2.98","15890"
"Felipe Vazquez","Pirates","10.13","3.38","3.00","0.00","25.9 %","8.6 %","17.3 %",".230","1.29",".321","58.3 %","100","50","84","3.86","2.00","1.86","3.39","3.39","12076"
"Sean Doolittle","Nationals","13.73","1.37","10.00","0.92","41.1 %","4.1 %","37.0 %",".145","0.66",".216","80.4 %","58","50","62","2.29","2.00","0.28","2.50","1.62","1581"
"Roberto Osuna","Blue Jays","7.63","0.59","13.00","0.00","20.6 %","1.6 %","19.1 %",".267","1.11",".340","73.7 %","68","48","81","2.93","2.01","0.92","3.39","3.17","13764"
"Marcus Walden","Red Sox","8.59","1.84","4.67","0.00","23.7 %","5.1 %","18.6 %",".255","1.16",".341","61.1 %","83","50","70","3.68","2.03","1.65","2.92","2.67","8004"
"Roberto Gomez","Giants","7.71","0.96","8.00","0.00","16.3 %","2.0 %","14.3 %",".426","2.25",".513","50.0 %","206","53","95","7.71","2.05","5.66","3.79","3.44","12963"
"Kelvin Herrera","Royals","8.10","0.00","15.00","0.54","24.2 %","0.0 %","24.2 %",".194","0.72",".239","94.3 %","25","52","81","1.08","2.10","-1.02","3.37","2.90","6033"
"Brooks Pounders","Rockies","13.50","0.00","12.00","1.13","36.4 %","0.0 %","36.4 %",".313","1.25",".474","72.9 %","99","49","42","4.50","2.12","2.38","1.72","1.52","10387"
"Trevor Oaks","Royals","7.20","1.80","4.00","0.00","15.4 %","3.9 %","11.5 %",".480","2.60",".571","61.5 %","207","53","89","9.00","2.12","6.88","3.75","4.30","16468"
"Nick Gardewine","Rangers","7.20","0.00","4.00","0.00","17.4 %","0.0 %","17.4 %",".318","1.40",".389","75.0 %","80","50","105","3.60","2.12","1.48","4.40","3.82","16513"
"Miguel Socolovich","Braves","9.00","3.00","3.00","0.00","23.1 %","7.7 %","15.4 %",".250","1.33",".333","25.0 %","231","53","107","9.00","2.12","6.88","4.29","3.85","6697"
"Joe Kelly","Red Sox","10.13","3.38","3.00","0.00","29.6 %","9.9 %","19.8 %",".153","0.89",".229","75.0 %","48","53","73","2.11","2.14","-0.03","3.05","3.03","9761"
"Ryan Madson","Nationals","9.31","2.79","3.33","0.00","23.5 %","7.1 %","16.5 %",".269","1.40",".362","64.3 %","106","53","91","4.19","2.14","2.05","3.65","3.40","1852"
"Collin McHugh","Astros","12.23","2.55","4.80","0.51","35.3 %","7.4 %","27.9 %",".177","0.91",".270","100.0 %","12","53","65","0.51","2.16","-1.65","2.71","2.28","7531"
"Justin Verlander","Astros","11.01","1.83","6.00","0.52","32.8 %","5.5 %","27.3 %",".146","0.71",".205","90.5 %","25","53","83","1.05","2.18","-1.13","3.48","2.90","8700"
"Kirby Yates","Padres","11.81","3.38","3.50","0.00","32.3 %","9.2 %","23.1 %",".161","0.94",".257","88.9 %","30","55","87","1.13","2.18","-1.06","3.50","2.80","9073"
"Jeremy Jeffress","Brewers","8.42","2.81","3.00","0.00","26.4 %","8.8 %","17.6 %",".120","0.70",".169","94.4 %","9","52","75","0.35","2.19","-1.84","3.01","2.96","9490"
"Brett Cecil","Cardinals","8.10","2.70","3.00","0.00","25.0 %","8.3 %","16.7 %",".182","0.90",".250","66.7 %","71","55","92","2.70","2.22","0.48","3.68","3.24","2660"
"Michael Feliz","Pirates","11.70","3.15","3.71","0.45","31.7 %","8.5 %","23.2 %",".213","1.15",".313","78.7 %","70","56","75","2.70","2.22","0.48","3.03","2.82","11903"
"Nick Wittgren","Marlins","10.43","4.30","2.43","0.00","27.9 %","11.5 %","16.4 %",".167","1.09",".243","81.3 %","16","57","97","0.61","2.24","-1.62","3.90","3.55","15594"
"Blake Treinen","Athletics","10.72","2.78","3.86","0.40","28.1 %","7.3 %","20.8 %",".213","1.15",".295","81.3 %","28","55","63","1.19","2.24","-1.05","2.60","2.72","12572"
"Brandon Morrow","Cubs","9.00","3.38","2.67","0.00","26.7 %","10.0 %","16.7 %",".167","0.94",".237","86.7 %","29","55","76","1.13","2.25","-1.12","3.06","3.12","9346"
"Taylor Rogers","Twins","8.20","2.89","2.83","0.00","21.5 %","7.6 %","13.9 %",".288","1.45",".375","59.3 %","121","54","81","5.30","2.27","3.04","3.40","3.58","13449"
"Donnie Hart","Orioles","3.86","0.00","2.00","0.00","9.5 %","0.0 %","9.5 %",".286","1.29",".316","66.7 %","45","53","104","1.93","2.27","-0.34","4.35","4.05","15306"
"Will Harris","Astros","8.04","2.87","2.80","0.00","21.9 %","7.8 %","14.1 %",".237","1.21",".311","68.4 %","83","56","75","3.45","2.29","1.15","3.12","3.16","3192"
"Ryan Pressly","Twins","12.04","3.65","3.30","0.36","31.7 %","9.6 %","22.1 %",".226","1.26",".339","81.7 %","50","55","73","2.19","2.31","-0.12","3.04","2.86","7005"
"Tony Watson","Giants","10.29","2.14","4.80","0.43","27.6 %","5.8 %","21.8 %",".247","1.19",".339","85.4 %","57","60","71","2.14","2.31","-0.17","2.85","2.73","3132"
"Craig Stammen","Padres","9.13","1.99","4.60","0.40","25.6 %","5.6 %","20.0 %",".224","1.06",".295","84.1 %","53","59","79","1.99","2.33","-0.34","3.19","2.92","7274"
"Ross Stripling","Dodgers","10.38","2.34","4.44","0.52","27.8 %","6.3 %","21.5 %",".252","1.24",".344","87.1 %","55","59","78","2.08","2.34","-0.27","3.14","3.11","13273"
"Jeurys Familia","Mets","11.05","2.86","3.86","0.41","31.0 %","8.1 %","23.0 %",".177","0.95",".255","87.4 %","44","58","82","1.64","2.35","-0.71","3.31","2.78","5114"
"Edwin Diaz","Mariners","15.43","3.47","4.44","0.77","44.9 %","10.1 %","34.8 %",".117","0.77",".200","87.9 %","47","58","55","1.93","2.35","-0.42","2.28","1.79","14710"
"Jonathan Holder","Yankees","9.42","1.26","7.50","0.63","27.3 %","3.6 %","23.6 %",".189","0.84",".243","37.7 %","87","55","83","3.77","2.35","1.41","3.49","2.94","16588"
"Hector Rondon","Astros","9.77","1.72","5.67","0.57","26.6 %","4.7 %","21.9 %",".246","1.15",".326","78.3 %","56","57","81","2.30","2.36","-0.06","3.39","2.93","2391"
"Aaron Bummer","White Sox","9.82","3.68","2.67","0.00","22.5 %","8.5 %","14.1 %",".313","1.77",".417","63.0 %","87","56","81","3.68","2.37","1.31","3.37","3.31","16258"
"Noe Ramirez","Angels","11.92","3.86","3.09","0.35","29.8 %","9.7 %","20.2 %",".265","1.48",".388","71.8 %","93","59","77","3.86","2.38","1.48","3.20","3.03","12800"
"Ken Giles","Astros","7.20","0.00","12.00","0.60","20.7 %","0.0 %","20.7 %",".241","0.93",".289","63.5 %","87","58","85","3.60","2.39","1.21","3.58","3.13","12910"
"Bruce Rondon","White Sox","11.40","4.80","2.38","0.00","28.8 %","12.1 %","16.7 %",".211","1.33",".316","61.9 %","85","57","88","3.60","2.39","1.21","3.69","3.53","5766"
"Walker Buehler","Dodgers","10.59","2.38","4.44","0.53","29.6 %","6.7 %","23.0 %",".192","0.97",".265","76.9 %","64","61","63","2.38","2.42","-0.03","2.56","2.83","19374"
"Jake Thompson","Phillies","9.35","4.15","2.25","0.00","21.4 %","9.5 %","11.9 %",".263","1.62",".345","42.9 %","186","58","108","7.27","2.43","4.84","4.30","3.99","14371"
"Pedro Strop","Cubs","8.55","1.80","4.75","0.45","25.3 %","5.3 %","20.0 %",".183","0.85",".235","89.7 %","34","61","86","1.35","2.47","-1.12","3.45","3.10","4070"
"Mychal Givens","Orioles","11.01","3.55","3.10","0.36","31.0 %","10.0 %","21.0 %",".191","1.07",".281","71.4 %","66","58","82","2.84","2.49","0.35","3.45","3.03","10430"
"Phil Maton","Padres","9.56","3.94","2.43","0.00","23.9 %","9.9 %","14.1 %",".254","1.44",".348","95.8 %","15","63","106","0.56","2.50","-1.93","4.22","3.76","18064"
"Chris Devenski","Astros","10.70","2.55","4.20","0.51","30.9 %","7.4 %","23.5 %",".194","0.96",".275","90.4 %","37","61","73","1.53","2.50","-0.97","3.05","2.71","12763"
"Tony Sipp","Astros","7.56","3.24","2.33","0.00","21.2 %","9.1 %","12.1 %",".200","1.08",".261","55.6 %","104","61","93","4.32","2.52","1.80","3.89","3.94","8280"
"Oliver Drake","- - -","10.29","5.14","2.00","0.00","25.4 %","12.7 %","12.7 %",".273","1.64",".385","60.9 %","145","61","92","5.79","2.55","3.23","3.71","3.87","8823"
"Noah Syndergaard","Mets","10.43","1.99","5.23","0.61","27.8 %","5.3 %","22.5 %",".250","1.19",".340","76.0 %","78","64","71","2.91","2.56","0.36","2.86","3.04","11762"
"Chad Green","Yankees","12.24","1.80","6.80","1.08","35.1 %","5.2 %","29.9 %",".207","0.96",".291","80.8 %","58","60","62","2.52","2.56","-0.04","2.56","2.13","15552"
"Derek Law","Giants","10.00","4.00","2.50","0.00","21.7 %","8.7 %","13.0 %",".293","1.78",".387","47.1 %","187","67","114","7.00","2.57","4.43","4.55","3.88","13133"
"Jose Leclerc","Rangers","11.66","6.14","1.90","0.00","30.2 %","15.9 %","14.3 %",".132","1.16",".206","41.2 %","55","61","101","2.45","2.58","-0.12","4.24","4.00","14524"
"Scott Barlow","Royals","2.45","0.00","1.00","0.00","4.8 %","0.0 %","4.8 %",".429","2.45",".450","66.7 %","113","63","124","4.91","2.58","2.33","5.23","4.86","14993"
"Sam Tuivailala","Cardinals","7.36","3.27","2.25","0.00","19.2 %","8.5 %","10.6 %",".279","1.45",".353","81.3 %","64","64","113","2.45","2.58","-0.12","4.50","4.17","13485"
"Nick Kingham","Pirates","10.31","0.98","10.50","0.98","30.4 %","2.9 %","27.5 %",".179","0.76",".227","62.5 %","89","65","61","3.44","2.58","0.86","2.49","2.63","11694"
"Joe Jimenez","Tigers","9.13","2.38","3.83","0.40","23.2 %","6.1 %","17.2 %",".228","1.19",".294","63.9 %","64","61","106","2.78","2.59","0.19","4.46","3.57","15761"
"Carl Edwards Jr.","Cubs","15.00","4.71","3.18","0.86","39.3 %","12.4 %","27.0 %",".192","1.24",".317","77.6 %","87","64","74","3.43","2.60","0.83","2.98","2.55","13607"
"Adam Liberatore","Dodgers","9.00","4.50","2.00","0.00","24.2 %","12.1 %","12.1 %",".207","1.25",".286","70.0 %","90","66","91","3.38","2.62","0.75","3.64","3.72","10637"
"Alec Asher","Brewers","9.00","4.50","2.00","0.00","22.2 %","11.1 %","11.1 %",".250","1.50",".333","100.0 %","0","63","106","0.00","2.62","-2.62","4.25","4.15","13560"
"Randy Rosario","Cubs","9.00","4.50","2.00","0.00","28.6 %","14.3 %","14.3 %",".000","0.50",".000","100.0 %","0","65","65","0.00","2.62","-2.62","2.62","2.17","14508"
"Alex Colome","Rays","9.58","3.05","3.14","0.44","24.2 %","7.7 %","16.5 %",".274","1.45",".361","73.4 %","94","65","74","3.92","2.64","1.28","3.11","3.10","6661"
"James Pazos","Mariners","9.35","0.52","18.00","0.52","26.9 %","1.5 %","25.4 %",".194","0.75",".256","89.7 %","38","65","75","1.56","2.66","-1.10","3.13","2.49","13323"
"John Gant","Cardinals","9.35","2.60","3.60","0.52","25.0 %","6.9 %","18.1 %",".209","1.10",".271","45.5 %","122","67","92","4.67","2.66","2.01","3.69","3.49","13684"
"Matt Andriese","Rays","9.42","1.88","5.00","0.63","25.9 %","5.2 %","20.7 %",".220","1.05",".286","67.4 %","75","66","77","3.14","2.67","0.47","3.23","3.01","12022"
"Jose Alvarado","Rays","8.69","4.12","2.11","0.00","24.4 %","11.5 %","12.8 %",".176","1.07",".245","68.2 %","77","67","92","3.20","2.72","0.49","3.87","3.57","17780"
"Alex Wood","Dodgers","8.05","1.42","5.67","0.63","22.3 %","3.9 %","18.3 %",".223","1.02",".273","64.9 %","89","69","82","3.32","2.72","0.60","3.29","3.50","13781"
"David Hernandez","Reds","8.78","4.05","2.17","0.00","23.2 %","10.7 %","12.5 %",".204","1.20",".278","76.5 %","68","67","112","2.70","2.75","-0.05","4.45","4.10","4259"
"Johnny Cueto","Giants","7.31","1.69","4.33","0.28","22.2 %","5.1 %","17.1 %",".148","0.69",".185","93.2 %","22","72","97","0.84","2.75","-1.90","3.86","3.75","6893"
"Lou Trivino","Athletics","8.27","4.41","1.88","0.00","21.7 %","11.6 %","10.1 %",".213","1.29",".283","95.2 %","13","67","99","0.55","2.75","-2.20","4.15","4.13","15043"
"Chris Sale","Red Sox","12.43","2.14","5.80","1.00","34.9 %","6.0 %","28.9 %",".188","0.92",".267","86.5 %","52","67","67","2.29","2.76","-0.47","2.81","2.56","10603"
"Edgar Santana","Pirates","7.45","1.86","4.00","0.47","20.8 %","5.2 %","15.6 %",".205","0.98",".250","73.9 %","73","69","83","2.79","2.76","0.03","3.35","3.16","17355"
"Silvino Bracho","Diamondbacks","12.96","4.32","3.00","0.00","34.3 %","11.4 %","22.9 %",".107","0.84",".188","90.0 %","28","68","98","1.08","2.76","-1.68","3.93","2.88","15051"
"Matt Magill","Twins","7.71","0.77","10.00","0.77","21.7 %","2.2 %","19.6 %",".267","1.11",".324","94.8 %","35","66","96","1.54","2.78","-1.24","4.03","3.34","3950"
"Michael Soroka","Braves","9.20","2.45","3.75","0.61","21.7 %","5.8 %","15.9 %",".323","1.70",".408","63.6 %","95","70","72","3.68","2.78","0.90","2.89","3.61","18383"
"Trevor Bauer","Indians","10.22","3.20","3.19","0.46","27.2 %","8.5 %","18.7 %",".204","1.12",".278","76.0 %","59","67","84","2.59","2.78","-0.19","3.50","3.53","12703"
"Amir Garrett","Reds","10.46","2.70","3.88","0.68","31.0 %","8.0 %","23.0 %",".187","0.94",".259","94.8 %","34","68","69","1.35","2.78","-1.43","2.78","2.72","14375"
"Jeremy Hellickson","Nationals","7.16","1.38","5.20","0.55","21.5 %","4.1 %","17.4 %",".198","0.86",".239","79.4 %","56","70","82","2.20","2.79","-0.58","3.28","3.57","4371"
"Shane Carle","Braves","6.67","2.00","3.33","0.33","18.9 %","5.7 %","13.2 %",".200","0.96",".241","81.3 %","34","70","94","1.33","2.79","-1.46","3.75","3.73","15258"
"Aaron Loup","Blue Jays","8.20","2.41","3.40","0.48","21.3 %","6.3 %","15.0 %",".267","1.34",".333","72.0 %","78","67","88","3.38","2.80","0.57","3.67","3.56","10343"
"Kenta Maeda","Dodgers","11.05","2.66","4.15","0.82","28.6 %","6.9 %","21.7 %",".251","1.30",".342","68.7 %","104","71","77","3.89","2.80","1.08","3.10","3.25","18498"
"Sammy Solis","Nationals","13.22","4.96","2.67","0.55","33.8 %","12.7 %","21.1 %",".230","1.41",".361","70.8 %","112","71","75","4.41","2.82","1.59","3.01","3.04","11457"
"Jack Flaherty","Cardinals","10.41","2.70","3.86","0.77","30.3 %","7.9 %","22.5 %",".207","1.03",".283","84.9 %","61","71","84","2.31","2.82","-0.51","3.38","3.22","17479"
"Rick Porcello","Red Sox","8.91","1.55","5.73","0.71","24.4 %","4.3 %","20.2 %",".230","1.05",".290","73.0 %","76","69","80","3.39","2.82","0.57","3.36","3.33","2717"
"Richard Bleier","Orioles","3.96","1.44","2.75","0.00","10.9 %","4.0 %","6.9 %",".271","1.20",".306","87.1 %","33","66","97","1.44","2.84","-1.40","4.08","3.81","7803"
"Aaron Nola","Phillies","7.93","1.95","4.07","0.56","23.0 %","5.7 %","17.3 %",".223","1.02",".279","81.4 %","60","69","82","2.37","2.86","-0.49","3.29","3.54","16149"
"Jared Hughes","Reds","7.43","2.03","3.67","0.34","21.8 %","5.9 %","15.8 %",".204","0.94",".257","89.8 %","34","70","82","1.35","2.86","-1.51","3.29","3.05","9325"
"Lance McCullers Jr.","Astros","10.07","3.51","2.87","0.46","28.0 %","9.8 %","18.2 %",".210","1.14",".291","73.0 %","77","69","78","3.20","2.87","0.34","3.28","3.44","14120"
"Artie Lewicki","Tigers","7.88","4.50","1.75","0.00","18.0 %","10.3 %","7.7 %",".314","1.88",".393","66.7 %","129","68","121","5.63","2.87","2.75","5.11","4.66","16731"
"Nick Pivetta","Phillies","10.19","2.04","5.00","0.85","28.0 %","5.6 %","22.4 %",".225","1.08",".296","76.9 %","82","69","82","3.23","2.88","0.35","3.31","3.21","15454"
"Bobby Poyner","Red Sox","8.38","0.93","9.00","0.93","22.0 %","2.4 %","19.5 %",".300","1.34",".367","94.8 %","42","71","82","1.86","2.92","-1.05","3.42","3.31","17987"
"Tony Cingrani","Dodgers","14.67","2.93","5.00","1.17","36.8 %","7.4 %","29.4 %",".246","1.30",".382","52.1 %","188","74","59","7.04","2.93","4.12","2.40","2.09","12555"
"Joakim Soria","White Sox","11.15","1.76","6.33","1.17","26.8 %","4.2 %","22.5 %",".309","1.57",".404","66.0 %","125","69","83","5.28","2.93","2.36","3.46","2.92","6941"
"Andrew Chafin","Diamondbacks","9.92","4.96","2.00","0.00","25.0 %","12.5 %","12.5 %",".213","1.35",".302","79.2 %","56","73","101","2.20","2.94","-0.73","4.03","3.86","12988"
"Zach Eflin","Phillies","8.83","3.12","2.83","0.52","25.0 %","8.8 %","16.2 %",".161","0.92",".205","75.3 %","40","71","109","1.56","2.95","-1.39","4.35","4.19","13774"
"Jose Alvarez","Angels","10.07","2.29","4.40","0.92","26.8 %","6.1 %","20.7 %",".234","1.17",".302","79.2 %","66","73","81","2.75","2.97","-0.22","3.38","3.00","5358"
"Hunter Strickland","Giants","9.58","2.18","4.40","0.87","27.5 %","6.3 %","21.3 %",".187","0.92",".235","86.4 %","58","78","82","2.18","2.98","-0.80","3.29","2.95","7836"
"David Robertson","Yankees","10.55","2.95","3.57","0.84","28.7 %","8.1 %","20.7 %",".188","1.03",".245","62.5 %","98","69","79","4.22","2.98","1.24","3.29","2.97","8241"
"Trevor Cahill","Athletics","9.93","2.17","4.57","0.93","28.6 %","6.3 %","22.3 %",".210","1.00",".271","76.6 %","67","73","60","2.79","2.98","-0.19","2.48","2.78","6249"
"Patrick Corbin","Diamondbacks","11.70","2.60","4.50","1.01","33.3 %","7.4 %","25.9 %",".176","0.91",".239","83.7 %","66","74","66","2.60","2.99","-0.39","2.65","2.79","9323"
"Mike Clevinger","Indians","7.54","2.72","2.78","0.45","21.3 %","7.7 %","13.6 %",".235","1.16",".293","77.2 %","65","72","92","2.87","3.00","-0.14","3.85","4.06","12808"
"Erik Goeddel","- - -","11.00","7.00","1.57","0.00","29.7 %","18.9 %","10.8 %",".167","1.33",".263","91.7 %","24","74","103","1.00","3.01","-2.01","4.27","4.48","11712"
"Jon Gray","Rockies","10.19","2.10","4.85","0.97","26.0 %","5.4 %","20.7 %",".285","1.40",".371","63.7 %","118","70","73","5.34","3.01","2.32","2.96","3.24","14916"
"Brad Brach","Orioles","11.37","5.21","2.18","0.47","26.7 %","12.2 %","14.4 %",".266","1.68",".370","75.2 %","88","70","88","3.79","3.02","0.77","3.70","3.73","6627"
"Matt Barnes","Red Sox","12.36","5.49","2.25","0.46","33.8 %","15.0 %","18.8 %",".149","1.12",".231","78.7 %","62","74","78","2.75","3.02","-0.27","3.27","3.40","12863"
"Drew VerHagen","Tigers","9.90","6.30","1.57","0.00","26.2 %","16.7 %","9.5 %",".171","1.30",".250","46.2 %","145","71","122","6.30","3.02","3.28","5.13","4.54","13424"
"Sean Newcomb","Braves","9.91","4.10","2.42","0.51","27.1 %","11.2 %","15.9 %",".189","1.14",".256","77.1 %","61","76","92","2.39","3.03","-0.63","3.67","3.89","16943"
"Kyle Crick","Pirates","11.68","4.38","2.67","0.73","29.1 %","10.9 %","18.2 %",".204","1.30",".281","82.2 %","57","77","92","2.19","3.04","-0.85","3.70","3.36","13182"
"Tyler Olson","Indians","12.15","2.03","6.00","1.35","32.1 %","5.4 %","26.8 %",".245","1.20",".333","53.0 %","139","73","70","6.08","3.05","3.03","2.92","2.39","14741"
"James Paxton","Mariners","11.35","2.87","3.95","1.01","31.5 %","8.0 %","23.5 %",".191","1.02",".257","76.1 %","80","75","82","3.30","3.06","0.24","3.42","3.17","11828"
"Gio Gonzalez","Nationals","9.53","4.13","2.31","0.48","24.6 %","10.7 %","13.9 %",".225","1.32",".297","81.9 %","60","77","95","2.38","3.07","-0.69","3.79","4.02","7448"
"Dan Jennings","Brewers","6.45","2.42","2.67","0.40","19.1 %","7.1 %","11.9 %",".231","1.07",".279","79.7 %","50","74","82","2.01","3.08","-1.06","3.30","3.16","8073"
"Robbie Erlin","Padres","7.80","1.20","6.50","0.90","21.3 %","3.3 %","18.0 %",".254","1.13",".303","57.1 %","129","78","77","4.80","3.09","1.71","3.09","3.19","10354"
"Luis Avilan","White Sox","11.77","4.85","2.43","0.69","27.0 %","11.1 %","15.9 %",".286","1.77",".395","60.2 %","114","74","89","4.85","3.12","1.72","3.75","3.60","2882"
"Pablo Sandoval","Giants","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0","82","78","0.00","3.12","-3.12","3.12","-1.25","5409"
"John Axford","Blue Jays","8.18","3.27","2.50","0.41","22.2 %","8.9 %","13.3 %",".247","1.27",".317","76.1 %","76","74","94","3.27","3.12","0.15","3.93","3.68","9059"
"Brad Hand","Padres","13.68","4.81","2.85","0.74","35.9 %","12.6 %","23.3 %",".161","1.11",".250","66.2 %","59","79","74","2.22","3.12","-0.90","2.99","2.86","9111"
"Seth Lugo","Mets","8.89","2.54","3.50","0.64","25.0 %","7.1 %","17.9 %",".196","0.99",".250","88.2 %","51","78","92","1.91","3.12","-1.22","3.70","3.28","12447"
"Archie Bradley","Diamondbacks","8.25","2.25","3.67","0.75","23.7 %","6.5 %","17.2 %",".195","0.96",".238","79.2 %","67","78","86","2.63","3.12","-0.50","3.46","3.21","12918"
"Daniel Robertson","Rays","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0","77","151","0.00","3.12","-3.12","6.37","9.69","14145"
"Hyun-Jin Ryu","Dodgers","10.92","3.03","3.60","0.91","31.3 %","8.7 %","22.6 %",".154","0.88",".200","87.7 %","57","79","73","2.12","3.12","-1.00","2.96","3.06","14444"
