"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kazuhisa Makita","Padres","9.50","3.50","2.71","2.00","24.1 %","8.9 %","15.2 %",".268","1.44",".313","56.1 %","201","134","99","7.50","5.23","2.27","3.97","3.77","19757"
"Marco Estrada","Blue Jays","7.11","2.66","2.67","1.95","18.6 %","7.0 %","11.6 %",".275","1.38",".295","75.1 %","119","123","124","5.15","5.25","-0.10","5.22","4.88","1118"
"Yimi Garcia","Dodgers","5.79","1.93","3.00","1.93","14.3 %","4.8 %","9.5 %",".300","1.50",".313","35.7 %","206","135","115","7.71","5.27","2.45","4.57","4.31","12095"
"Daniel Norris","Tigers","10.57","5.28","2.00","1.76","24.7 %","12.3 %","12.3 %",".254","1.63",".310","73.4 %","135","123","108","5.87","5.27","0.60","4.53","4.19","13475"
"Alex Cobb","Orioles","4.79","1.77","2.71","1.77","11.3 %","4.2 %","7.1 %",".369","1.85",".388","62.9 %","152","121","106","6.56","5.28","1.28","4.46","4.55","6562"
"Daniel Hudson","Dodgers","6.91","5.65","1.22","1.26","17.5 %","14.3 %","3.2 %",".241","1.53",".268","62.5 %","151","135","127","5.65","5.29","0.37","5.06","5.16","7146"
"Felix Hernandez","Mariners","7.97","4.07","1.96","1.63","20.0 %","10.2 %","9.8 %",".251","1.43",".282","70.0 %","134","128","114","5.53","5.33","0.20","4.80","4.66","4772"
"Lance Lynn","Twins","9.88","6.99","1.41","1.45","22.8 %","16.1 %","6.7 %",".311","2.04",".394","66.6 %","171","125","108","7.47","5.35","2.13","4.56","5.06","2520"
"Luke Jackson","Braves","20.25","13.50","1.50","0.00","37.5 %","25.0 %","12.5 %",".200","2.25",".500","50.0 %","347","137","166","13.50","5.37","8.13","6.59","4.78","11752"
"Tyler Mahle","Reds","8.72","3.02","2.89","2.18","22.6 %","7.8 %","14.8 %",".261","1.36",".288","82.4 %","115","133","100","4.53","5.40","-0.87","4.00","4.06","16358"
"Andrew Kittredge","Rays","5.94","3.78","1.57","1.62","13.4 %","8.5 %","4.9 %",".347","1.98",".377","48.6 %","233","131","108","9.72","5.40","4.32","4.52","4.54","12828"
"Luke Gregerson","Cardinals","8.64","3.24","2.67","2.16","22.9 %","8.6 %","14.3 %",".250","1.32",".273","36.6 %","226","137","81","8.64","5.40","3.24","3.26","3.24","4090"
"Steven Wright","Red Sox","7.71","6.43","1.20","1.29","20.0 %","16.7 %","3.3 %",".200","1.43",".222","69.8 %","116","131","123","5.14","5.41","-0.27","5.18","5.14","8185"
"Andrew Cashner","Orioles","8.13","4.39","1.85","1.79","20.2 %","10.9 %","9.3 %",".269","1.55",".304","76.8 %","109","124","114","4.72","5.42","-0.70","4.80","4.74","8782"
